"","Year","Genre","NA_Sales","EU_Sales","JP_Sales"
"1",2012,"Action",0,0,0.03
"2",2012,"Misc",0,0,0.03
"3",2017,"Role-Playing",0.1,0.04,0.08
"14",2010,"Role-Playing",0,0,0.14
"15",2010,"Role-Playing",0,0,0.14
"25",2013,"Misc",0,0,0.01
"26",2012,"Shooter",0.11,0.17,0
"27",2012,"Shooter",0.06,0.06,0
"28",2012,"Shooter",0.13,0.13,0
"46",2013,"Adventure",0,0,0.01
"47",2013,"Misc",0,0,0.01
"48",2010,"Sports",0.06,0.01,0
"51",2010,"Misc",0.12,0.52,0
"52",2011,"Misc",0,0.03,0
"53",2017,"Action",0,0,0.03
"54",2010,"Misc",0,0.02,0
"55",2011,"Action",0.12,0.17,0
"56",2011,"Action",0.11,0.17,0
"61",2010,"Sports",0.08,0,0
"62",2010,"Sports",0.08,0,0
"63",2010,"Sports",0.02,0,0
"64",2011,"Sports",0.02,0,0
"65",2010,"Adventure",0,0,0.02
"67",2014,"Adventure",0,0,0.07
"68",2016,"Adventure",0,0,0.08
"69",2017,"Puzzle",0,0,0.01
"77",2011,"Racing",0.08,0.02,0
"78",2011,"Racing",0.1,0.02,0
"92",2013,"Misc",0.09,0.01,0
"103",2010,"Sports",0.3,0.64,0.07
"104",2010,"Sports",0.3,0.64,0.07
"105",2010,"Sports",0.09,0.23,0.03
"106",2010,"Sports",0.09,0.24,0.03
"107",2010,"Sports",0.23,0.15,0.01
"108",2010,"Sports",0.23,0.15,0.01
"109",2010,"Sports",0.32,0.42,0.02
"110",2010,"Sports",0.32,0.43,0.02
"111",2014,"Sports",0.15,0.4,0.01
"112",2014,"Sports",0.15,0.39,0.01
"113",2014,"Sports",0.15,0.25,0
"114",2014,"Sports",0.14,0.28,0
"121",2012,"Role-Playing",0,0,0.3
"123",2010,"Misc",0,0.07,0
"129",2010,"Role-Playing",0.36,0.12,0.03
"133",2014,"Misc",0,0,0.23
"134",2014,"Role-Playing",0,0,0.23
"135",2014,"Misc",0,0,0.19
"136",2014,"Role-Playing",0,0,0.19
"137",2015,"Action",0,0,0.16
"138",2015,"Action",0,0,0.2
"140",2013,"Puzzle",0,0.02,0
"145",2014,"Misc",0,0.02,0
"146",2014,"Puzzle",0,0.01,0
"151",2018,"Visual Novel",0.01,0,0.01
"162",2012,"Misc",0,0.02,0
"163",2012,"Misc",0,0.01,0
"167",2016,"Action",0.09,0.08,0
"168",2016,"Action",0.09,0.02,0
"169",2015,"Misc",0,0.02,0
"171",2010,"Puzzle",0.13,0.15,0
"176",2011,"Puzzle",0.02,0.03,0
"177",2011,"Puzzle",0.01,0.02,0
"178",2018,"Adventure",0,0,0.02
"180",2011,"Role-Playing",0,0,0.2
"181",2013,"Role-Playing",0,0,0.13
"182",2015,"Role-Playing",0.03,0,0.12
"183",2016,"Role-Playing",0.06,0.04,0.13
"184",2018,"Sports",0.03,0,0
"185",2018,"Sports",0.02,0,0
"186",2018,"Strategy",0.03,0,0
"187",2018,"Strategy",0.03,0,0
"188",2017,"Action",0,0.02,0
"192",2010,"Adventure",0.31,0,0.03
"200",2011,"Strategy",0,0.03,0
"201",2015,"Action",0,0,0.04
"203",2010,"Adventure",0,0.05,0
"208",2018,"Action",0.23,0.16,0
"209",2018,"Action",0.17,0.05,0
"214",2015,"Simulation",0,0,0.06
"215",2016,"Simulation",0,0,0.01
"218",2017,"Simulation",0,0,0.02
"224",2011,"Simulation",0,0,0.12
"225",2011,"Simulation",0,0,0.12
"226",2010,"Simulation",0,0,0.26
"227",2010,"Simulation",0,0,0.26
"229",2011,"Misc",0.19,0.5,0
"230",2012,"Action",0,0,0.01
"231",2012,"Misc",0,0,0.01
"232",2015,"Action",0,0,0.02
"233",2017,"Adventure",0.03,0,0
"234",2017,"Adventure",0.02,0,0
"240",2017,"Action",0,0.03,0.06
"241",2017,"Action",0,0,0.07
"242",2012,"Adventure",0,0,0.03
"243",2012,"Adventure",0,0,0.03
"244",2013,"Adventure",0,0,0.02
"245",2013,"Adventure",0,0,0.01
"246",2011,"Adventure",0,0,0.26
"248",2010,"Adventure",0.23,0.14,0.3
"262",2011,"Action",0.3,0.16,0.22
"263",2011,"Action",0.3,0.16,0.22
"264",2011,"Action",0.3,0.12,0.03
"265",2011,"Action",0.3,0.12,0.03
"266",2011,"Simulation",0.1,0.06,0.08
"267",2011,"Simulation",0.1,0.06,0.08
"268",2010,"Simulation",0.06,0.05,0.15
"269",2010,"Simulation",0.06,0.05,0.15
"270",2010,"Strategy",0,0.01,0
"271",2010,"Strategy",0,0.01,0
"272",2015,"Strategy",0,0.01,0
"278",2010,"Sports",0.14,0,0
"279",2010,"Sports",0.14,0,0
"282",2011,"Misc",0.03,0.01,0
"283",2011,"Misc",0.04,0.01,0
"293",2010,"Racing",0.12,0.02,0
"294",2010,"Racing",0.12,0.02,0
"307",2013,"Action",0.1,0.03,0
"308",2013,"Action-Adventure",0.1,0.04,0
"309",2013,"Action",0.02,0.02,0
"310",2013,"Action-Adventure",0.02,0.02,0
"311",2013,"Action",0.02,0.01,0
"312",2013,"Action-Adventure",0.02,0.02,0
"313",2013,"Action",0.03,0.04,0
"314",2013,"Action-Adventure",0.03,0.04,0
"315",2015,"Action",0.03,0.06,0
"316",2015,"Action",0.04,0.07,0
"317",2015,"Action",0.07,0.05,0
"318",2015,"Action",0.04,0.02,0
"319",2015,"Action",0.05,0.07,0
"320",2015,"Action",0.04,0.02,0
"321",2018,"Adventure",0.01,0.02,0
"322",2018,"Adventure",0.01,0,0
"323",2018,"Adventure",0.04,0,0
"324",2014,"Action-Adventure",0.01,0,0
"325",2014,"Adventure",0.01,0,0
"326",2014,"Adventure",0.01,0,0
"327",2015,"Misc",0.01,0,0
"328",2014,"Action",0,0.07,0
"329",2014,"Adventure",0,0.08,0
"330",2014,"Action",0,0.08,0
"331",2014,"Adventure",0,0.05,0
"339",2016,"Action",0.02,0.01,0
"340",2016,"Action",0.01,0.01,0
"341",2016,"Action",0.03,0.01,0
"342",2016,"Action",0.02,0,0
"343",2016,"Action",0.01,0.02,0
"344",2016,"Action",0.02,0.01,0
"349",2017,"Role-Playing",0.02,0,0
"363",2011,"Sports",0,0.1,0
"365",2010,"Adventure",0.07,0,0
"377",2016,"Adventure",0,0.02,0
"378",2016,"Adventure",0.01,0.01,0
"379",2016,"Adventure",0.05,0.02,0
"380",2016,"Adventure",0.04,0,0
"381",2010,"Role-Playing",0,0.02,0
"389",2011,"Strategy",0.01,0.04,0
"398",2017,"Action",0.08,0.08,0
"399",2017,"Action",0.07,0.03,0
"405",2018,"Action-Adventure",0.02,0,0
"406",2018,"Action-Adventure",0.02,0,0
"410",2016,"Action",0,0,0.04
"411",2013,"Action",0,0,0.26
"412",2013,"Simulation",0,0,0.27
"413",2014,"Adventure",0,0,0.13
"414",2014,"Adventure",0,0,0.13
"415",2012,"Role-Playing",0,0,0.2
"416",2012,"Simulation",0,0,0.2
"417",2015,"Misc",0,0,0.09
"418",2015,"Misc",0,0,0.07
"419",2012,"Action",0,0,0.04
"420",2012,"Misc",0,0,0.04
"421",2016,"Adventure",0,0,0.02
"426",2011,"Simulation",0,0.02,0
"427",2011,"Simulation",0.1,0.06,0
"428",2011,"Simulation",0.1,0.06,0
"429",2017,"Simulation",0.03,0,0
"430",2011,"Simulation",0.06,0.02,0
"431",2011,"Simulation",0.06,0.02,0
"432",2018,"Simulation",0.02,0,0
"451",2011,"Simulation",0,0.04,0
"452",2011,"Simulation",0,0.04,0
"455",2011,"Simulation",0,0.02,0
"456",2014,"Misc",0,0,0.01
"461",2012,"Shooter",0.04,0,0.01
"462",2016,"Adventure",0,0,0.02
