"","Year","Genre","NA_Sales","EU_Sales","JP_Sales"
"4",2006,"Role-Playing",0,0,0.17
"5",2006,"Role-Playing",0,0,0.17
"6",2006,"Role-Playing",0.11,0.09,0
"7",2007,"Role-Playing",0.11,0.09,0
"8",2006,"Role-Playing",0,0,0.16
"9",2007,"Role-Playing",0,0,0.16
"10",2007,"Role-Playing",0,0,0.17
"11",2007,"Role-Playing",0,0,0.17
"12",2002,"Role-Playing",0.49,0.38,0.26
"13",2003,"Role-Playing",0.49,0.38,0.26
"16",2002,"Role-Playing",0.23,0.18,0.2
"17",2003,"Role-Playing",0.23,0.18,0.2
"18",2002,"Role-Playing",0.14,0.11,0.17
"19",2003,"Role-Playing",0.14,0.11,0.17
"20",2003,"Role-Playing",0.09,0.07,0
"21",2004,"Role-Playing",0.09,0.07,0
"23",2009,"Action",0.65,0.41,0
"24",2009,"Action",0.84,0.35,0
"29",2000,"Racing",0.3,0.2,0
"30",2008,"Action",0.11,0.01,0
"31",2008,"Action",0.01,0.01,0
"32",2008,"Action",0.17,0,0
"33",2008,"Shooter",0.17,0,0
"34",2008,"Action",0.43,0.52,0.02
"35",2008,"Shooter",0.43,0.51,0.02
"36",2008,"Action",0.3,0.29,0.01
"37",2008,"Shooter",0.29,0.28,0.01
"38",2008,"Action",0.82,0.52,0.01
"39",2008,"Shooter",0.82,0.51,0.01
"40",2000,"Action",1.13,0.38,0.02
"41",2000,"Action",0.51,0.35,0
"42",2000,"Shooter",0.51,0.35,0
"43",2000,"Shooter",1.13,0.38,0.02
"45",2008,"Misc",0.08,0,0
"49",2009,"Puzzle",0.35,0.12,0
"50",2008,"Misc",0.13,0.52,0
"57",2008,"Puzzle",0.05,0.13,0
"58",2009,"Misc",0.05,0.13,0
"59",2009,"Misc",0.19,0.01,0
"60",2009,"Misc",0.19,0.01,0
"66",2009,"Adventure",0,0,0.02
"70",2008,"Adventure",0,0,0.04
"71",2009,"Adventure",0,0.01,0
"72",2006,"Simulation",0,0.25,0
"73",2002,"Racing",0.09,0.02,0
"74",2001,"Racing",0.2,0.15,0
"75",2009,"Racing",0,0.02,0
"76",2009,"Racing",0,0.02,0
"79",2005,"Racing",0.07,0.06,0
"80",2005,"Racing",0.05,0.01,0
"83",2005,"Misc",0.67,0.25,0
"84",2005,"Racing",0.09,0.03,0
"85",2007,"Action",1.26,0.47,0
"86",2004,"Misc",1.25,0.46,0
"87",2005,"Action",0.22,0.08,0
"88",2005,"Misc",1.31,0.49,0
"89",2005,"Misc",0.44,0.16,0
"90",2005,"Misc",0.04,0.02,0
"91",2005,"Platform",0.33,0.12,0
"93",2004,"Misc",0.4,0.11,0
"94",2005,"Misc",0.4,0.11,0
"95",2005,"Misc",0.02,0,0
"96",2005,"Platform",0.06,0.02,0
"97",2002,"Sports",0.04,0.01,0
"98",2002,"Sports",0.04,0.01,0
"99",2002,"Sports",0.21,0.17,0.16
"100",2002,"Sports",0.21,0.17,0.16
"101",2002,"Sports",0.14,0.04,0
"102",2002,"Sports",0.14,0.04,0
"115",2006,"Adventure",0.15,0.12,0
"116",2006,"Adventure",0.15,0.12,0
"117",2006,"Shooter",0.35,0.01,0
"118",2006,"Shooter",0.12,0.04,0
"119",2006,"Shooter",0.35,0.01,0
"120",2006,"Shooter",0.12,0.04,0
"124",2007,"Action",0.27,0.08,0
"125",2007,"Action",0.27,0.08,0
"128",2009,"Role-Playing",0.36,0.12,0.03
"132",2001,"Simulation",0.06,0.04,0
"141",2009,"Puzzle",0,0.04,0
"142",2009,"Puzzle",0,0.04,0
"143",2005,"Misc",0.11,0,0
"148",2009,"Adventure",0,0,0.02
"149",2009,"Adventure",0,0,0.04
"150",2008,"Adventure",0,0,0.13
"152",2002,"Racing",0.11,0.03,0
"153",2001,"Racing",0.18,0.05,0
"154",2002,"Racing",0.11,0.03,0
"155",2001,"Racing",0.18,0.05,0
"156",2001,"Racing",0.16,0.12,0
"157",2009,"Shooter",0.1,0.06,0.01
"158",2009,"Shooter",0.12,0.07,0
"159",2005,"Action",0.85,0.76,0
"160",2006,"Action",0.08,0,0
"161",2005,"Action",0.33,0.1,0
"164",2009,"Misc",0.52,0,0
"170",2009,"Puzzle",0.14,0.15,0
"172",2007,"Puzzle",0.1,0.01,0
"173",2007,"Puzzle",0.1,0.01,0
"174",2007,"Puzzle",0,0.01,0
"175",2007,"Puzzle",0.07,0,0
"179",2009,"Role-Playing",0,0,0.14
"189",2008,"Adventure",0,0,0.04
"190",2008,"Adventure",0,0,0.04
"191",2009,"Adventure",0.37,0,0.03
"193",2009,"Platform",0.18,0.01,0
"194",2009,"Platform",0.19,0.02,0
"204",2001,"Simulation",0,0,0.03
"205",2009,"Simulation",0,0,0.04
"206",2008,"Adventure",0,0.01,0
"207",2008,"Adventure",0,0.01,0
"210",2009,"Role-Playing",0.08,0,0.03
"211",2009,"Role-Playing",0.08,0,0.03
"216",2000,"Strategy",0,0,0.06
"217",2004,"Strategy",0,0,0.06
"220",2005,"Simulation",0,0,0.26
"221",2006,"Simulation",0,0,0.18
"222",2007,"Simulation",0,0,0.01
"223",2007,"Simulation",0,0,0.26
"228",2007,"Adventure",0,0,0.01
"235",2008,"Misc",0.08,0.06,0
"236",2008,"Misc",0.21,0.01,0
"237",2008,"Misc",0.25,0,0
"238",2008,"Misc",0.21,0,0
"239",2009,"Sports",0.1,0.02,0
"247",2009,"Adventure",0.27,0.15,0.3
"249",2001,"Simulation",2.06,0.56,0.38
"250",2001,"Simulation",2.06,0.56,0.38
"254",2000,"Simulation",0.22,0.15,0.4
"255",2004,"Simulation",0.88,0.34,0.32
"256",2004,"Simulation",0.88,0.34,0.32
"257",2007,"Simulation",0.69,0.04,0.22
"258",2006,"Simulation",0.37,0.31,0.12
"259",2006,"Simulation",0.37,0.31,0.12
"260",2006,"Simulation",0.15,0.12,0.2
"261",2006,"Simulation",0.15,0.12,0.2
"273",2000,"Action",0.64,0.43,0
"276",2008,"Racing",0.01,0,0
"277",2009,"Sports",0,0.18,0
"280",2009,"Sports",0.14,0.27,0
"281",2009,"Sports",0.15,0.27,0
"284",2008,"Sports",0.79,0.44,0.19
"285",2008,"Sports",0.78,0.43,0.19
"286",2003,"Misc",0.03,0.01,0
"287",2002,"Misc",0.25,0.19,0
"288",2006,"Misc",0.05,0,0
"295",2004,"Role-Playing",0.03,0.01,0
"296",2001,"Strategy",0.5,0.19,0
"297",2003,"Strategy",0.47,0.17,0
"298",2008,"Strategy",0.43,0.13,0
"300",2005,"Strategy",0.3,0.03,0.04
"301",2005,"Action",0.1,0.03,0
"302",2005,"Action",0.1,0.03,0
"335",2008,"Role-Playing",0.1,0,0.01
"336",2009,"Role-Playing",0.11,0,0.01
"337",2006,"Role-Playing",0.02,0,0
"338",2007,"Role-Playing",0.02,0,0
"345",2005,"Action",0.02,0.02,0
"346",2005,"Action",0.02,0.02,0
"347",2005,"Action",0.01,0,0
"348",2005,"Action",0.01,0,0
"350",2002,"Simulation",0.04,0.03,0
"351",2003,"Simulation",0.04,0.03,0
"356",2008,"Adventure",0.12,0,0.08
"357",2009,"Adventure",0.12,0,0.08
"358",2009,"Action",0.12,0.05,0
"359",2009,"Action",0.12,0.05,0
"360",2009,"Action",0.16,0.05,0
"361",2009,"Action",0.16,0.05,0
"362",2007,"Simulation",0.01,0,0
"364",2009,"Adventure",0.07,0,0
"366",2009,"Role-Playing",0,0,0.01
"368",2003,"Sports",0.04,0.03,0
"369",2008,"Adventure",0.06,0.01,0
"370",2008,"Adventure",0,0.01,0
"371",2008,"Adventure",0,0.01,0
"372",2008,"Adventure",0.07,0.02,0
"373",2009,"Adventure",0,0.01,0
"374",2009,"Adventure",0,0.01,0
"375",2009,"Adventure",0.08,0.01,0
